Заголовок;Код региона;Код города;Маска номера;Количество цифр;Регион
Москва;;495 499;xxx-xx-xx;7;
Санкт-Петербург;;812;xxx-xx-xx;7;
Новосибирск;;383;xxx-xx-xx;7;
Екатеринбург;;343;xxx-xx-xx;7;
Нижний Новгород;;831;xxx-xx-xx;7;
Самара;;846;xxx-xx-xx;7;
Омск;;381;xxx-xx-xx;7;
Казань;;843;xxx-xx-xx;7;
Челябинск;;351;xxx-xx-xx;7;
Ростов-на-Дону;;863;xxx-xx-xx;7;
Уфа;;347;xxx-xx-xx;7;
Ярославль;;485;xxx-xx-xx;7;
Пермь;;342;xxx-xx-xx;7;
Красноярск;;391;xxx-xx-xx;7;
Воронеж;;473;xxx-xx-xx;7;
Волгоград;;844;xxx-xx-xx;7;
Саратов;;845;xxx-xx-xx;7;
Тольятти;;848;xxx-xx-xx;7;
Краснодар;;861;xxx-xx-xx;7;
Ижевск;;341;xxx-xx-xx;7;
Забайкальск;302;51;x-xx-xx;5;Код Забайкальского края
Завитинск;416;36;x-xx-xx;5;Код Амурской области
Заводоуковск;345;42;x-xx-xx;5;Код Тюменской области
Заволжье;831;61;x-xx-xx;5;Код Нижегородской области
Заворово;;496;xxx-xx-xx;7;
Заволжск;493;33;x-xx-xx;5;Код Ивановской области
Завьялово;385;62;x-xx-xx;5;Код Алтайского края
Завьялово;341;2;xx-xx-xx;6;Код Республики Удмуртия
Загарье;496;43;x-xx-xx;5;Код Московской области
Загорянский;;496;xxx-xx-xx;7;
Задонск;474;71;x-xx-xx;5;Код Липецкой области
Заветное;863;78;x-xx-xx;5;Код Ростовской области
Заиграево;301;36;x-xx-xx;5;Код Республики Бурятия
Закаменск;301;37;x-xx-xx;5;Код Республики Бурятия
Залегощь;486;48;x-xx-xx;5;Код Орловской области
Залари;395;52;x-xx-xx;5;Код Иркутской области
Заинск;855;58;x-xx-xx;5;Код Республики Татарстан
Залесово;385;92;x-xx-xx;5;Код Алтайского края
Залукокоаже;866;37;x-xx-xx;5;Код Кабардино-Балкарской Республики
Заозерск;815;56;x-xx-xx;5;Код Мурманской области
Заокский;487;34;x-xx-xx;5;Код Тульской области
Западная Двина;482;65;x-xx-xx;5;Код Тверской области
Заполярный;815;54;x-xx-xx;5;Код Мурманской области
Запутное;496;4;xx-xx-xx;6;Код Московской области
